Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 49 52.1,-4 41 1.4,2284.38854640633,-4411.35529682406,-5159.48632342532,-3.82951815090259,3.92062105137969,-5.05192444997001,2017-10-11T03:34:00.054,-44.61289,-0.3690523207,0.0951510593,-0.1255851686,0.9159557991
22 49 41.4,-4 38 49.0,1828.45873207546,-3929.27539454069,-5701.44944818749,-4.08660094882305,4.44129969698623,-4.37389938908536,2017-10-11T03:35:55.054,-44.61666,-0.3690956831,0.095005475,-0.1260641515,0.9158876384
22 49 31.1,-4 36 36.4,1346.38826439408,-3391.02485715622,-6161.70724502709,-4.28498681839906,4.89786372802158,-3.63287185092457,2017-10-11T03:37:50.055,-44.6204,-0.3691389561,0.0948598608,-0.1265431046,0.9158192401
22 49 19.7,-4 34 19.9,845.084670866749,-2804.32371549016,-6533.68958273962,-4.42173750915949,5.28480746471626,-2.84022487540497,2017-10-11T03:39:45.055,-44.62411,-0.3691821098,0.0947142243,-0.127022028,0.9157506156
22 46 24.4,-6 14 2.1,127.230901291563,1591.37778230762,6971.14841550325,4.52259954128124,-5.80028084739,1.2554130740352,2017-10-11T06:14:00.054,-43.14179,-0.3543041646,0.1086028069,-0.1286928356,0.9198435428
22 46 35.8,-6 14 14.0,645.096761710754,914.232435000812,7064.10119122653,4.47493210717062,-5.95751521690452,0.376887477630284,2017-10-11T06:15:55.055,-43.13667,-0.3543038666,0.1084740311,-0.128301397,0.9199135319
22 46 47.5,-6 14 29.0,1153.71528465064,224.00760182985,7055.63502518614,4.36306440598609,-6.02955831406143,-0.507708242265042,2017-10-11T06:17:50.054,-43.13154,-0.3543035388,0.1083452404,-0.1279099435,0.9199833464
22 46 58.7,-6 14 37.8,1645.82076504899,-469.429720166677,6945.90234257408,4.18890247436661,-6.01518598491356,-1.38320141128497,2017-10-11T06:19:45.054,-43.12642,-0.3543031216,0.1082164273,-0.1275184602,0.9200530122
22 48 3.5,-6 01 2.6,4074.7238930358,-4571.89669147662,3710.66283958365,1.57533830700889,-3.71424124712556,-6.27363527940982,2017-10-11T06:33:00.055,-43.15959,-0.3551534712,0.1055796072,-0.1260875165,0.9202287197
22 48 7.6,-5 56 43.4,4225.63969376545,-4964.61889165096,2963.77876027483,1.05672587140682,-3.11864942359018,-6.69275789818983,2017-10-11T06:34:55.054,-43.15782,-0.3552586436,0.1049467325,-0.1261862069,0.9202469889
